Outcome,Analyte,OR,pvalue,FWER,FDR
COVID19,IL-2,1.28,0.412,1,0.563
COVID19,MCP-2,0.789,0.414,1,0.563
COVID19,MIP-1$\beta$,1.22,0.422,1,0.569
RespiratoryFailure,IL-17F,1.18,0.445,1,0.596
Infected,IL-1$\alpha$,2.13,0.456,1,0.606
COVID19,IFN$\gamma$,0.824,0.468,1,0.619
RespiratoryFailure,BCA-1,1.28,0.479,1,0.63
COVID19,GRO$\alpha$,1.9,0.497,1,0.648
RespiratoryFailure,IL-2,0.839,0.501,1,0.649
COVID19,IL-15,1.18,0.519,1,0.668
COVID19,CTACK,1.19,0.525,1,0.672
COVID19,TGF$\alpha$,1.14,0.553,1,0.704
Infected,IFN-$\alpha$2,1.17,0.56,1,0.708
Infected,IL-16,0.858,0.583,1,0.73
Infected,IL-17F,0.887,0.587,1,0.73
COVID19,IL-23,0.884,0.589,1,0.73
RespiratoryFailure,FLT-3L,1.11,0.637,1,0.785
RespiratoryFailure,IFN-$\alpha$2,1.11,0.643,1,0.788
RespiratoryFailure,IL-17E/IL-25,1.1,0.648,1,0.789
COVID19,MIP-1$\alpha$,1.13,0.658,1,0.796
Infected,TGF$\alpha$,1.12,0.672,1,0.807
Infected,MIG/CXCL9,1.22,0.675,1,0.807
COVID19,IL-9,1.1,0.68,1,0.808
COVID19,MCP-1,1.11,0.683,1,0.808
RespiratoryFailure,IL-15,0.911,0.691,1,0.812
RespiratoryFailure,ENA-78,0.917,0.712,1,0.832
Infected,GRO$\alpha$,3.44,0.722,1,0.839
COVID19,IP-10,0.928,0.731,1,0.844
Infected,MIP-1$\delta$,1.14,0.736,1,0.846
Infected,IL-5,1.11,0.753,1,0.853
Infected,RANTES,0.929,0.756,1,0.853
COVID19,IL-1$\beta$,1.08,0.757,1,0.853
RespiratoryFailure,TNF$\alpha$,1.08,0.76,1,0.853
RespiratoryFailure,IL-13,0.931,0.77,1,0.859
COVID19,IL-17F,1.06,0.774,1,0.86
COVID19,LIF,0.938,0.788,1,0.868
COVID19,6CKine,0.94,0.79,1,0.868
RespiratoryFailure,IL-22,1.06,0.837,1,0.914
RespiratoryFailure,IL-12p70,1.05,0.855,1,0.927
Infected,PDGF-AB/BB,1.06,0.858,1,0.927
RespiratoryFailure,FGF-2,0.962,0.872,1,0.937
RespiratoryFailure,IL-4,1.04,0.878,1,0.939
RespiratoryFailure,IL-27,1.03,0.885,1,0.941
RespiratoryFailure,IL-17A,1.03,0.914,1,0.967
RespiratoryFailure,LIF,1.02,0.927,1,0.971
RespiratoryFailure,Eotaxin,0.981,0.93,1,0.971
COVID19,IL-1$\alpha$,1.02,0.934,1,0.971
COVID19,IL-16,0.981,0.937,1,0.971
COVID19,PDGF-AA,1.02,0.947,1,0.976
RespiratoryFailure,IL-5,1.01,0.958,1,0.979
COVID19,I-309,1.01,0.959,1,0.979
COVID19,sCD40L,1.01,0.965,1,0.979
COVID19,IL-18,1,0.985,1,0.988
RespiratoryFailure,TNF$\beta$,1,0.987,1,0.988
RespiratoryFailure,IL-16,1,0.988,1,0.988
