Outcome,Analyte,OR,pvalue,FWER,FDR
RespiratoryFailure,IL-2,0.786,0.431,1,0.657
Infected,I-309,0.811,0.437,1,0.658
COVID19,SCF,0.805,0.439,1,0.658
Infected,VEGF-A,1.29,0.444,1,0.658
Infected,IL-1$\alpha$,2.04,0.445,1,0.658
COVID19,MCP-4,0.526,0.449,1,0.659
COVID19,MIP-1$\alpha$,1.23,0.456,1,0.664
COVID19,TPO,0.81,0.464,1,0.67
RespiratoryFailure,MCP-3,1.23,0.467,1,0.67
COVID19,IL-12p40,0.841,0.486,1,0.692
RespiratoryFailure,MIG/CXCL9,1.31,0.491,1,0.695
RespiratoryFailure,BCA-1,1.25,0.497,1,0.699
COVID19,LIF,1.18,0.507,1,0.703
RespiratoryFailure,IL-15,0.819,0.507,1,0.703
COVID19,I-309,1.21,0.51,1,0.703
Infected,IL-9,1.24,0.523,1,0.712
COVID19,6CKine,1.18,0.524,1,0.712
RespiratoryFailure,VEGF-A,1.16,0.532,1,0.718
Infected,IL-4,1.35,0.539,1,0.722
RespiratoryFailure,IL-13,0.862,0.545,1,0.722
COVID19,IL-17F,1.14,0.547,1,0.722
Infected,IL-13,1.3,0.555,1,0.722
RespiratoryFailure,IL-3,0.81,0.557,1,0.722
RespiratoryFailure,FGF-2,0.865,0.557,1,0.722
Infected,IL-2,1.49,0.564,1,0.727
COVID19,MCP-2,0.872,0.589,1,0.753
Infected,IL-17E/IL-25,1.17,0.6,1,0.764
COVID19,sCD40L,1.13,0.615,1,0.778
Infected,TNF$\alpha$,1.18,0.621,1,0.78
COVID19,IL-3,0.866,0.626,1,0.782
COVID19,PDGF-AA,1.13,0.64,1,0.794
Infected,IL-17F,0.911,0.652,1,0.804
RespiratoryFailure,IL-12p70,0.903,0.658,1,0.806
RespiratoryFailure,Eotaxin,0.913,0.665,1,0.806
RespiratoryFailure,TNF$\beta$,0.903,0.668,1,0.806
RespiratoryFailure,ENA-78,0.906,0.678,1,0.806
Infected,IL-16,0.889,0.68,1,0.806
COVID19,MCP-1,1.11,0.68,1,0.806
RespiratoryFailure,LIF,0.917,0.687,1,0.806
COVID19,IL-16,1.11,0.688,1,0.806
Infected,MIG/CXCL9,1.21,0.69,1,0.806
Infected,MIP-1$\delta$,1.15,0.707,1,0.819
Infected,IL-12p70,1.14,0.709,1,0.819
RespiratoryFailure,IL-22,1.11,0.724,1,0.821
COVID19,IL-1$\beta$,1.1,0.726,1,0.821
RespiratoryFailure,IL-4,0.924,0.727,1,0.821
Infected,TGF$\alpha$,1.09,0.73,1,0.821
Infected,IFN-$\alpha$2,1.1,0.734,1,0.821
RespiratoryFailure,IL-5,0.922,0.735,1,0.821
RespiratoryFailure,TNF$\alpha$,0.926,0.74,1,0.821
Infected,LIF,0.926,0.752,1,0.83
COVID19,IL-33,0.932,0.765,1,0.834
Infected,RANTES,0.931,0.769,1,0.834
COVID19,IP-10,0.939,0.771,1,0.834
COVID19,GRO$\alpha$,1.45e+27,0.772,1,0.834
RespiratoryFailure,IL-17F,1.06,0.781,1,0.84
RespiratoryFailure,IL-16,0.94,0.801,1,0.857
RespiratoryFailure,IFN-$\alpha$2,0.951,0.811,1,0.86
RespiratoryFailure,IL-17A,0.95,0.813,1,0.86
Infected,IL-5,1.08,0.818,1,0.861
COVID19,IFN$\gamma$,0.953,0.835,1,0.87
COVID19,IL-17A,0.956,0.836,1,0.87
Infected,PDGF-AB/BB,1.06,0.846,1,0.874
RespiratoryFailure,IL-27,0.955,0.848,1,0.874
RespiratoryFailure,IL-17E/IL-25,0.962,0.854,1,0.874
COVID19,IL-18,1.05,0.856,1,0.874
COVID19,IL-1$\alpha$,1.04,0.882,1,0.896
COVID19,Eotaxin-3,0.967,0.887,1,0.896
COVID19,IL-23,1.02,0.925,1,0.929
RespiratoryFailure,FLT-3L,1.01,0.956,1,0.956
