,sCD40L,EGF,Eotaxin,FGF-2,FLT-3L,Fractalkine,G-CSF,GROα,IFN-α2,IFNγ,IL-1α,IL-1β,IL-1RA,IL-2,IL-3,IL-4,IL-5,IL-6,IL-7,IL-8,IL-9,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-17A,IL-17E/IL-25,IL-17F,IL-18,IL-22,IL-27,IP-10,MCP-1,MCP-3,M-CSF,MDC,MIG/CXCL9,MIP-1α,MIP-1β,PDGF-AA,PDGF-AB/BB,RANTES,TGFα,TNFα,TNFβ,VEGF-A,6CKine,BCA-1,CTACK,ENA-78,Eotaxin-2,Eotaxin-3,I-309,IL-16,IL-21,IL-23,IL-33,LIF,MCP-2,MCP-4,MIP-1δ,SCF,SDF-1α+β,TARC,TPO,TRAIL
IL-1α,0.6028092294650993,0.4674260429163237,0.541574603635844,0.506119114025409,0.5286166538997795,0.5311487245848187,0.5180802051874562,0.5099589560860673,0.5200145425904702,0.3174886676282486,0.0,0.017007566674726637,0.2807588371446453,0.5062184846785547,0.25709198635502845,0.5197972615795234,0.5228225264378156,0.46883955610561917,0.38294082051521106,0.30708553519273085,0.5300304011626135,0.22319052843621784,0.5173243975516614,0.5036672427732541,0.5225468518742221,0.4558793362132272,0.47532075488797504,0.52689485522113,0.48419502265552006,0.5576110102923364,0.4298565569982369,0.5940265553465709,0.5263613292528354,0.3970725024249223,0.5286499907207055,0.252928159167532,0.623268317206226,0.5059760996600116,0.4359880352391662,0.42349182314182254,0.6307609354271134,0.5956590379806491,0.6164385718283991,0.47533852734486626,0.4320437879466125,0.5368339789366805,0.5483481646258671,0.5214485078088611,0.5466821271142662,0.6294769675174285,0.6040724532619878,0.5778234409113912,0.49890319361676677,0.5457499307607019,0.47856063651737735,0.46941997956865766,0.4745060223692709,0.4782665728803173,0.4859066554537928,0.5251827421526419,0.48053901788916525,0.5864047541924666,0.4838782123574689,0.5718188756791442,0.6069412842600768,0.47276790843432287,0.3955060743338474
IL-1β,0.6026176843799291,0.4708358285520494,0.5583219160297583,0.48244498270993497,0.538124177849838,0.5161926614279687,0.5174477365373562,0.5133623248037169,0.5129303537625355,0.3092832728402152,0.017007566674726637,0.0,0.271577076073434,0.4843251186236921,0.2028368743111159,0.5002941203212026,0.5172646709443395,0.46396981841114515,0.16989985579711236,0.30710910683697656,0.5225943711197988,0.23042361377660775,0.5560651376916403,0.4895089946485652,0.5074076024775287,0.4370969229775018,0.5065311782498447,0.5233264870519001,0.5085571808018766,0.5770182915983895,0.10118321485662057,0.5913911313418645,0.5253832483898307,0.35923064569578317,0.5223841081474747,0.18901045483130535,0.6369040124768248,0.5149498572107761,0.4545720606214536,0.42612777326455414,0.6272894006955834,0.5970518308476142,0.6178971154389862,0.48311765998078,0.42298167384139906,0.5175161190951962,0.5504911761349855,0.538422780392213,0.5487172450275082,0.6409344633805438,0.6159617496527743,0.5989270348984591,0.5199649823428752,0.5635232003509367,0.5068258774663252,0.5039046759692636,0.5076971821809562,0.5151656223926464,0.49031909404102025,0.5220744933217708,0.5173307701622181,0.5869514159060869,0.5183841903326303,0.6019246348700449,0.6228387917324651,0.5106365380811012,0.3917727823221876
IL-1RA,0.6613864833801671,0.43156640827202697,0.5762189615667844,0.5234197176946982,0.5562966968536918,0.5112534567027562,0.3814646531339906,0.40130762370066553,0.5667598395121498,0.3705780899524552,0.2807588371446453,0.271577076073434,0.0,0.5231971209494972,0.5269746474838631,0.5440853608494617,0.506887247702105,0.13720194282417364,0.4713128519786577,0.21463059676449425,0.5426290684239583,0.24980896222408977,0.6079964588503243,0.539456219231628,0.555699879661285,0.46737902728159464,0.5506982160698902,0.5790733541383845,0.553118407812174,0.5674239808223444,0.4466755298012342,0.5889457474809263,0.350940521785176,0.22680475042954934,0.42291788956239684,0.2712150102168813,0.7263395505607797,0.4114896883295342,0.3523549936100643,0.2308126152529793,0.6930594193552728,0.6147855917729962,0.6614433243123294,0.5041559225312501,0.4758622042570697,0.5363313488779355,0.45055245651623993,0.6033911985422106,0.5675234202722025,0.711711204929449,0.5776138283724872,0.4814584415337569,0.567850631464805,0.5537231191053353,0.36834518606760147,0.5403338825211538,0.5376517535449953,0.5458280233242875,0.5482884684757372,0.30911231501039155,0.5390895838823914,0.6467209070559312,0.5532260077694261,0.6314997864295422,0.6882873943182232,0.5359861573611838,0.2067097796825561
IL-2,0.26030502647480525,0.49448523508962916,0.3117216529536732,0.021609993814728057,0.31880331204862733,0.09469759778671988,0.5154158750258858,0.513926904542127,0.058326979805725765,0.222995174736679,0.5062184846785547,0.4843251186236921,0.5231971209494972,0.0,0.18667457890472494,0.02034155619039746,0.21423409525425807,0.5260122733445248,0.25759799129318917,0.5534660274407821,0.07861045639903191,0.475705743906145,0.4460917817445004,0.023867295982070158,0.021106035400180856,0.02276275473445516,0.3715733039857557,0.09011884704952106,0.3754295601512221,0.48771546544082134,0.03999723381778014,0.26178064976377247,0.5305258009855631,0.5476416105399635,0.1208341878044275,0.4383807916342288,0.48247035896833096,0.49834931294823687,0.36392126662634716,0.5219401175691706,0.2800803072015701,0.44368065411899,0.4150251852971687,0.2522986224906759,0.09370083395844858,0.03953783564749086,0.3311799151900834,0.16191279224345195,0.4989629299942317,0.4743898749732486,0.5275285274689416,0.49041829977257617,0.22157800683444773,0.3588041407147639,0.43844647750182036,0.40876388542348896,0.3786678754365873,0.4390127677772908,0.12723483944402864,0.4689331334402358,0.44601561828528924,0.23955887957252975,0.3499188043364315,0.4498404815808013,0.5131814378175136,0.4520831818979914,0.5352729162999559
IL-3,0.3453773718586215,0.4223185253155261,0.3029521418863631,0.20826624625298978,0.4602961926356567,0.2318417084631761,0.33681206861649227,0.47599837572744497,0.17030190511187643,0.1860681182546826,0.25709198635502845,0.2028368743111159,0.5269746474838631,0.18667457890472494,0.0,0.19853511561704312,0.22515379398285124,0.5529140394467021,0.43840125417679904,0.5376002216499697,0.21025149123996334,0.49355505545434036,0.2522859116311281,0.14290670882612355,0.16290029944088946,0.17383079352940584,0.2845310709484443,0.21593089438151886,0.3484480845479824,0.4738945535015487,0.2313641532122176,0.3840057863919172,0.4667727514952833,0.5835245845719074,0.22263900378046297,0.3716745242709326,0.5263746495031726,0.5250590231982126,0.2333888244106297,0.537826786704067,0.41109411568635323,0.5527730114099682,0.5952301203803393,0.3350743613744974,0.1442660541471703,0.23546559702091224,0.3394976873873983,0.07744815564536428,0.5353061007802579,0.5038288808509418,0.5675764978787252,0.37689995069143156,0.08260264693770558,0.27561226920244974,0.3491394947223009,0.15271342556769008,0.19824906349373433,0.19647311688481867,0.13813885606428322,0.3076995562269075,0.16982876168713568,0.25722614749349393,0.12361541992126757,0.2719938893593914,0.5177442154246857,0.1816229251517834,0.2933093395145673
IL-4,0.22450137723617303,0.5019199382525766,0.26877220770274535,0.012235237186541792,0.2573388684037537,0.06685103448451768,0.5222072853360994,0.5214796744434621,0.028585092702948955,0.22778897645502877,0.5197972615795234,0.5002941203212026,0.5440853608494617,0.02034155619039746,0.19853511561704312,0.0,0.2215485537312759,0.5334932380683203,0.21027556805396863,0.5742112097161697,0.057891959003599336,0.4908155663190424,0.4442752203122662,0.014585714267280891,0.009283866870090196,0.043749911142253683,0.33447519376575174,0.04950910350601184,0.313856130394455,0.4826365768644348,0.03592345723306556,0.2332705526775507,0.5337717005099629,0.5622027923719923,0.11051560602523691,0.4474535555849866,0.47496926864577554,0.4940347495025941,0.3610016605049632,0.5407397777343813,0.25407715289782296,0.4256860310360945,0.38944908675668616,0.1951281066439044,0.08198543835520505,0.026222998005189235,0.32373485558752546,0.1506404198924915,0.487599143396754,0.45710889710070457,0.5037355911397059,0.5032481777051779,0.21268097752054466,0.3353798562413618,0.43487745781709136,0.399806862063129,0.3597895795127124,0.4283715116579037,0.09436233206342542,0.4577158073862626,0.4390554545234714,0.25234614188801247,0.342871438474422,0.42472721094189464,0.4911321519138363,0.44481655823212674,0.5460306954252125
IL-5,0.3554995898062361,0.5270134885460216,0.34424504418254676,0.22297106462685828,0.40061325704635153,0.2888767471946809,0.5299322657828714,0.5297025083933442,0.23922082454585464,0.3479235942894972,0.5228225264378156,0.5172646709443395,0.506887247702105,0.21423409525425807,0.22515379398285124,0.2215485537312759,0.0,0.5096578533938894,0.39469401919790903,0.542112845445349,0.16988312874060552,0.4800899030305513,0.41745634751343086,0.20721010682583785,0.2034240664032977,0.204646295117895,0.4032262159279852,0.25485336530411307,0.4292437625842832,0.49266728380240044,0.19542223627515076,0.3491591892658212,0.5373925663367202,0.49807948501961496,0.25934086484026186,0.4365183071569475,0.4959513662985683,0.4919260836704278,0.40797078269218245,0.5246774426074882,0.3648648014676606,0.42565676177103545,0.45303604437862544,0.3665307535204133,0.2566272320933535,0.21962991049458347,0.4163761563943733,0.23407631596818146,0.5101932708051332,0.48681937980725815,0.4961321493795055,0.32058676101544226,0.2519061313319652,0.3192883504324422,0.46506000257579555,0.3368941907686783,0.3552442151613743,0.3686850631469091,0.23667801456717774,0.46021503523361135,0.34931490719611524,0.3587176401815346,0.3087139800569867,0.3823696888716848,0.3862820091382606,0.36005861355294355,0.5123330985328142
IL-6,0.5523707352888998,0.4328589752104848,0.532512449089308,0.5195936216658138,0.48539713373158067,0.44867247469739213,0.3394430015868504,0.43161465678302563,0.5318331352586086,0.43199682982199805,0.46883955610561917,0.46396981841114515,0.13720194282417364,0.5260122733445248,0.5529140394467021,0.5334932380683203,0.5096578533938894,0.0,0.5101069425757804,0.37661253848093323,0.5170627388696896,0.30557561734710137,0.5527779938754039,0.5358283372960245,0.5377690540925147,0.4613388098621085,0.5306909612254969,0.5362944677918772,0.5368811904367551,0.5307390634237231,0.4858807121219658,0.4595530362827036,0.30164326135333897,0.3466877691314978,0.36167178499394204,0.4193800727793895,0.6386853074416424,0.2857500746581592,0.3801850953125227,0.20720286399276738,0.5598322269581225,0.5156127436205602,0.5455336952125143,0.5086306207563177,0.4812425212414337,0.4984145395279423,0.39327789136705366,0.558493138749232,0.5189524544912608,0.5921592278288375,0.4487515238980946,0.41163202559392276,0.5434867295505282,0.5221186181672168,0.3469594385013703,0.5328932004853458,0.5187850527416882,0.529834422455475,0.5405622673396245,0.18169238780586522,0.5164844040648786,0.5713724560934146,0.5295667444372216,0.5385188594861463,0.6094578817246337,0.5244808724891742,0.19164886437641354
IL-7,0.2630891330238611,0.47310096308119576,0.31180537162811794,0.21010375906328566,0.19632527732053423,0.18724845902553994,0.5069376613848428,0.4129566584772561,0.1983860602153874,0.2198425107018725,0.38294082051521106,0.16989985579711236,0.4713128519786577,0.25759799129318917,0.43840125417679904,0.21027556805396863,0.39469401919790903,0.5101069425757804,0.0,0.5054183858841557,0.20599696821057822,0.43192345908605034,0.5405821054613094,0.23665338010192122,0.23224441977543392,0.2801175497535521,0.35505472882585243,0.20023272004784165,0.27454604812121586,0.5828688000767617,0.23867306817891715,0.25444972454653964,0.4733823663571936,0.5315325195379019,0.25262836776119824,0.29796768177797195,0.6479716209497923,0.48233714039015807,0.21865302083660276,0.5198295538155803,0.3247714825098128,0.4509708824904186,0.39007449882001155,0.18045315964220043,0.24852646145676904,0.22339489481689312,0.39851663734045606,0.34699565823018397,0.41750196965642394,0.4929451046715094,0.4832156853593664,0.5696331869231259,0.4043854217803735,0.4436837780237546,0.40983493791624387,0.5081517103194059,0.4323300857844764,0.49984605545137956,0.23484457260219566,0.389170979852078,0.5340630674615663,0.4331665383980748,0.48197109981468783,0.5434211793870867,0.6384557501219897,0.5246783281217896,0.6052026414256441
IL-8,0.744535491958178,0.4214483751086446,0.6394287257651216,0.5682188848010575,0.6303886935363803,0.5513626685992243,0.34709797672128984,0.32095902311774704,0.6080147977759651,0.4630756804884954,0.30708553519273085,0.30710910683697656,0.21463059676449425,0.5534660274407821,0.5376002216499697,0.5742112097161697,0.542112845445349,0.37661253848093323,0.5054183858841557,0.0,0.6012523801011832,0.4289328648209548,0.6408885385597631,0.5647395738209436,0.5895625443427693,0.542577005514215,0.571026128842253,0.6247149813505486,0.5761550174205093,0.6455138366810143,0.4815663227515212,0.7190548520093559,0.4113249804023306,0.23662164736537306,0.4428394732065083,0.2767637175172861,0.7545956207507872,0.5835257671660005,0.40366459109434044,0.4124877951755072,0.7775279990429296,0.6985635502340897,0.7330415585367573,0.5374819391552038,0.5597255418106449,0.5842545663364455,0.4283219494033844,0.6388596060960214,0.5910527969754596,0.7869417206964002,0.6196169871383272,0.6113235143094077,0.5922185421730788,0.6446557026314628,0.48908854536098856,0.552804672074854,0.566466803379522,0.5631243684401007,0.578216733671838,0.4644804513137161,0.5604371939230939,0.6063520587939402,0.5766338774564124,0.7218866814314095,0.7196701431245898,0.5492755418216348,0.2806998791362699
IL-9,0.22588984739867118,0.5487365475725049,0.20993744476346737,0.06003348123469843,0.19342754797744666,0.11354640789160692,0.5495500828806468,0.5368714731089236,0.052709538608566864,0.264528337540552,0.5300304011626135,0.5225943711197988,0.5426290684239583,0.07861045639903191,0.21025149123996334,0.057891959003599336,0.16988312874060552,0.5170627388696896,0.20599696821057822,0.6012523801011832,0.0,0.4877841764618423,0.36397815506037856,0.06906070159945349,0.055350652349490936,0.09395255886948839,0.2713701054700659,0.0494699541499502,0.2613600987223463,0.4809347249831135,0.04253774525073922,0.21246894485699158,0.5572572550959022,0.565676707948633,0.12218432837217302,0.42902355546824295,0.455861546202578,0.459185077994382,0.368520200178178,0.5530143536150975,0.262131136160492,0.416025945036833,0.34373036664677176,0.1794384225816576,0.10793512826948864,0.04984197346232616,0.38886074303116647,0.11799068907016658,0.4853200460947219,0.4283909730175505,0.5197173775398152,0.388564511788142,0.1967279889611761,0.29912516971915704,0.4055407887342015,0.34419979049494936,0.26762644246986206,0.35023344385080724,0.08633842471663883,0.44457303998067993,0.3825005859539568,0.2835003537520757,0.29402458035258666,0.39254163578080714,0.4817167718163927,0.3770748559593577,0.5515664463142725
IL-10,0.5359138694962671,0.5029669015283142,0.5224680572780426,0.46717786658823507,0.4820373464484686,0.5057338560544189,0.5383515231128412,0.5186217130114041,0.4996939071086796,0.11354635959356435,0.22319052843621784,0.23042361377660775,0.24980896222408977,0.475705743906145,0.49355505545434036,0.4908155663190424,0.4800899030305513,0.30557561734710137,0.43192345908605034,0.4289328648209548,0.4877841764618423,0.0,0.5327105913793472,0.48732557763720574,0.491029730664288,0.41718602839699526,0.5073147255309942,0.4960971662562442,0.5190630484491376,0.538720337273056,0.3761034413292539,0.4759884903111991,0.5292529796962105,0.3833708595124227,0.488155367449903,0.38409202656948876,0.5914638911037607,0.29414297116196175,0.49677730814669496,0.3775328333006832,0.5523319783447685,0.5377705287272625,0.5483548321861527,0.48590536139885815,0.44431701255375766,0.48643456452990314,0.5669879917431421,0.5224558137508108,0.5219838491486053,0.5612853076840689,0.5649035793601984,0.48394426243497507,0.5164416463299784,0.5186600752692998,0.5207062082721725,0.510144217162811,0.5158379137008458,0.5197591245859047,0.48989934058302326,0.5061774048413136,0.5116531977784928,0.5543530829173059,0.5123569689479792,0.5351453107016492,0.5832184838669702,0.51509682552515,0.47426095046143396
